school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,11,12,12
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,14,13,12
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10,11,11
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9,10,10
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,11
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,11,12,13
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,14,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,10,9,9
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15,15,16
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,13,14
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,13,11,11
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13,13,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,11,11
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11,11,11
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0,11,11,12
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,10,9,9
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,12,11,11
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,13,12,13
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,13,12,12
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,12,11,12
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6,13,11,11
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15,15,15
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,12,10,11
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,9,11,11
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,14,13,13
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0,12,13,12
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,13,14,14
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6,9,11,11
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,13,12,12
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,12,13,13
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,0,0,1,1,1,0,5,3,5,1,1,3,2,12,13,13
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,16,16
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,12,13,12
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,16,16,16
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,13,14,14
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2,15,15,14
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,13,14,14
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,10,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,16,14,14
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,16,15,16
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,14,14,15
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,14,13,14
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,14,14,14
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,14,12,13
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,12,13,13
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,12,11,11
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2,9,9,9
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,10,11,11
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,14,14,15
GP,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4,13,12,13
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,10,11,12
GP,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8,11,10,11
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,11,12,13
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,13,12,12
GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12,15,13,14
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,13,14,15
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,10,9,10
GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8,12,11,11
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,0,0,1,0,1,0,1,1,1,4,3,2,1,1,5,4,9,9,10
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6,13,14,14
GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,15,13,13
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,13,13,13
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,10,11,11
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,12,12,12
GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,0,1,0,1,1,0,1,1,4,4,2,1,1,5,0,11,10,10
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6,13,12,13
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,0,0,1,1,1,1,1,1,1,4,2,1,2,3,3,2,13,13,13
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,0,0,1,0,0,1,0,1,1,4,5,4,1,1,4,6,11,9,11
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,13,13,13
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,0,7,8,8
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,4,12,10,11
GP,M,15,U,LE3,T,1,2,other,other,course,mother,2,1,0,0,0,0,1,1,1,0,0,4,4,4,2,4,5,2,8,9,10
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,0,9,10,11
GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0,17,17,18
GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,0,1,0,0,1,1,1,1,4,4,2,1,1,3,0,16,16,17
GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,16,17,18
GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,3,5,0,11,9,10
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,0,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,14,13,13
GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,4,5,1,1,4,0,14,14,15
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,0,0,0,1,0,1,1,0,3,4,4,1,4,5,0,13,12,14
GP,M,17,U,GT3,T,3,3,other,other,reputation,father,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,11,9,10
GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,8,10,9,11
GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,0,1,1,1,1,1,1,1,5,2,3,1,1,2,4,11,11,13
GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,4,11,10,11
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0,11,12,13
GP,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,6,11,13,14
GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,0,10,9,11
GP,M,16,U,LE3,T,2,1,other,other,course,mother,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,5,0,13,14,16
